ClusterId,Latitude,Longitude,Size
366,40.735851,-73.989292,8
367,40.711407,-73.959640,7
368,40.739249,-73.981813,7
369,40.750228,-73.996453,7
370,40.693299,-73.972453,7
371,40.716475,-73.988331,7
372,40.731206,-73.984293,7
373,40.684254,-73.992148,7
374,40.770257,-73.868552,7
375,40.807580,-73.945612,7
376,40.786810,-73.981088,7
377,40.680003,-73.999289,7
378,40.766664,-73.925963,7
379,40.766340,-73.958495,7
380,40.801766,-73.964757,7
381,40.710964,-74.000524,7
382,40.730346,-73.982166,7
383,40.790034,-73.972518,7
384,40.741476,-73.952299,7
385,40.723603,-73.976177,7
386,40.768683,-73.925003,7
387,40.707367,-74.001339,7
388,40.727884,-74.003936,7
389,40.770127,-73.917822,7
390,40.765901,-73.974158,7
391,40.798184,-73.936915,7
392,40.706612,-74.017757,7
393,40.645036,-73.787361,7
394,40.755193,-73.941332,7
395,40.718009,-74.014700,7
396,40.796655,-73.968406,7
397,40.710010,-73.962534,7
398,40.696343,-73.988219,7
399,40.741703,-73.980154,7
400,40.729925,-73.974627,7
401,40.645169,-73.791669,7
402,40.661768,-73.930752,7
403,40.796752,-73.964647,7
404,40.765179,-73.995207,7
405,40.735536,-73.996712,7
406,40.769205,-73.980328,7
407,40.712505,-73.999043,7
408,40.709260,-73.995886,7
409,40.705316,-73.808267,7
410,40.763256,-73.999455,7
411,40.764531,-73.995145,7
412,40.793774,-73.949383,6
413,40.730297,-73.977790,6
414,40.731954,-73.986477,6
415,40.736785,-73.999465,6
416,40.788950,-73.946552,6
417,40.791638,-73.944864,6
418,40.809780,-73.960595,6
419,40.814031,-73.955770,6
420,40.812374,-73.956984,6
421,40.711209,-73.797696,6
422,40.739681,-73.996447,6
423,40.715978,-74.010159,6
424,40.742925,-73.979057,6
425,40.799504,-73.955281,6
426,40.765249,-73.985334,6
427,40.759191,-73.919013,6
428,40.791398,-73.962046,6
429,40.728857,-74.006574,6
430,40.786312,-73.942493,6
431,40.772112,-73.926002,6
432,40.693639,-73.983185,6
433,40.771371,-73.922872,6
434,40.714431,-73.957627,6
435,40.773421,-73.979011,6
436,40.736110,-74.005031,6
437,40.769331,-73.953487,6
438,40.728679,-73.980304,6
